Id,Name,,Nat,Glider,Harnesses,Sponsor,Team,Club,Fed.,T 1,T 2,T 3,T 4,T 5,T 6,T 7,Total,
31,18437,VALTER POSTALI,M,BRA,Ozone Zeno 2 - Lima - Preto,Ozone Exoceat,Clínica Cirurgia Vascular Postali,,AGVL - ASSOCIAÇÃO GAÚCHA DE VOO LIVRE,FGVL - FEDERAÇÃO GAÚCHA DE VOO LIVRE,880.0,313.3,19.8/77.2,933.0,638.1,954.3,36.7,3738.5
32,36345,WELLINGTON SANTOS DE OLIVEIRA,M,BRA,Flow XCRacer 2 - Azul/preto/rosa,Gin Genie Race,RAPHAEL VILLELA,,CVLJ - CLUBE DE VOO LIVRE DE JAPERI,FVLERJ - FEDERAÇÃO DE VOO LIVRE DO ESTADO DO RIO DE JANEIRO,0.0,0.0,376.3,917.1,632.3,916.6,824.6,3666.9
33,65653,ARTHUR GRANDINI RODELLA,M,BRA,Flow XCRacer 2 - Azul,Sol CX-MAX,VENTO NORTE PARAGLIDERS,Equipe Flow XcRacer 2,CVLVN - CLUBE DE VOO LIVRE VENTO NORTE,FVLP - FEDERAçãO DE VOO LIVRE DO PARANá,140.3,75.8/320.0,799.4,979.1,381.1,485.1,820.6,3541.1
34,81213,PAULO ROBERTO GAZANIGA MELO,M,BRA,Ozone Photon - Lima,Sol CX Max,>> APIR <<,Equipe SC,APIR - ASSOCIAÇÃO DE PARAPENTE DE ITAJAÍ E REGIÃO,FCVL - FEDERAÇÃO CATARINENSE DE VOO LIVRE,0.0,0.0,659.8,705.1,403.5,845.0,925.3,3538.7
35,12463,EVANDRO LUIS PAULI,M,BRA,Ozone Zeno 2 - Azul,Sol CX Max,.,Termal Fly,CPVL - CLUBE PATROCINENSE DE VOO LIVRE,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,43.7/182.9,328.9,813.5,782.5,636.1,910.9,14.6,3515.6
36,79866,GABRIEL JANSEN RABELLO,M,BRA,Ozone Enzo 3 - Laranja,Wood Valey Race,Ozone/Alta Montanha/ Casa de Pedra,,ACVL - ANHANGAVA CLUBE VOO LIVRE,FVLP - FEDERAçãO DE VOO LIVRE DO PARANá,0.0,0.0,929.6,938.9,480.3,900.0,264.5,3513.3
37,39108,RICARDO LUIZ MORITZ,M,BRA,Ozone Enzo 3 - Cinza lima,Ozone Submarine,,Equipe SC,LCVL - LAGOA CLUBE DE VOO LIVRE,FCVL - FEDERAÇÃO CATARINENSE DE VOO LIVRE,627.3,792.6,520.7,942.5,483.8,0.0,0.0,3366.9
38,21726,MARCELO DA CUNHA CARVALHO,M,BRA,Niviuk Peak 6 - Verde,Woody Valley XR7,Marimar,Carcará,AIVL - ASSOCIAÇÃO ITAOCARENSE DE VOO LIVRE,FVLERJ - FEDERAÇÃO DE VOO LIVRE DO ESTADO DO RIO DE JANEIRO,408.6,510.0,91.5/356.1,936.1,489.9,929.1,0.0,3365.2
39,77274,DIONISIO CORDEIRO,M,BRA,Ozone Zeno 2 - Verde e preto,Sol CX Max,VIDRAçARIA DINâMICA,,ACVL - ANHANGAVA CLUBE VOO LIVRE,FVLP - FEDERAçãO DE VOO LIVRE DO PARANá,0.0,0.0,430.9,947.9,384.8,847.9,725.4,3336.9
40,2370,GETULIO DE CARVALHO FILHO,M,BRA,Ozone Zeno 2 - Amarelo vermelho,Gin Genie Race 4,CVLBH,Fumaça Deitada,CVLBH - CLUBE DE VOO LIVRE BELO HORIZONTE,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,595.6,200.2,478.2,945.7,30.4/119.0,896.1,24.5,3146.2
41,78789,TIAGO RODRIGUES PEREIRA,M,BRA,Ozone Zeno 2 - Vermelho preto verde,Gin Genie Race 5,EU MESMO,Fumaça Deitada,CVLBH - CLUBE DE VOO LIVRE BELO HORIZONTE,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,0.0,0.0,644.8,936.6,398.9,972.4,174.0,3126.7
42,29840,THIAGO ELLER,M,BRA,Ozone Zeno 2 - Azul,Woody Valley XR7,Eu,Carcará,AIVL - ASSOCIAÇÃO ITAOCARENSE DE VOO LIVRE,FVLERJ - FEDERAÇÃO DE VOO LIVRE DO ESTADO DO RIO DE JANEIRO,0.0,0.0,647.7,959.8,485.5,899.1,0.0,2992.1
43,12591,SAMUEL NASCIMENTO,M,BRA,Ozone Enzo 3 - Lime,Sol CX Max,SOLSPORTS/CHOPP PALAZZO/PILOTO SAFO,Ozone,CAVL - CLUBE ARAXAENSE DE VOO LIVRE,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,953.7,870.1,1000.0,149.5,0.0,0.0,0.0,2973.3
44,26434,LUIZ IRENO DE ASSUMPCAO FILHO,M,BRA,Niviuk XOne - Azul,Woody Valley XR7,São ConradoS,,CSCVL - CLUBE SãO CONRADO DE VOO LIVRE,FVLERJ - FEDERAÇÃO DE VOO LIVRE DO ESTADO DO RIO DE JANEIRO,0.0,0.0,141.3,762.4,634.8,916.3,515.8,2970.6
45,17736,FALKO FELIX FISCHER,M,BRA,Gin Leopard - Vermelho Vinho Branco,Ava Sport Tanto Race,Eu,Termal Fly,AVLSC - ASSOCIAÇÃO DE VOO LIVRE DO SERTÃO CENTRAL,FEPACE - FEDERAÇÃO DE PARAPENTE E ASA DELTA DO CEARÁ,171.2,344.8,834.8,295.3,52.3/218.7,926.3,433.9,2887.4
46,60087,DUANNY DE OLIVEIRA SILVA,M,BRA,"Flow XCRacer - Verde Limão, Azul e Preto",Gin Genie Race 4,"@ventosdocerrado Escola de Voo livre, UP multimarcas",Termal Fly,AVLB - ASSOCIAÇÃO DE VOO LIVRE DE BRASÍLIA,FGVL - FEDERAÇÃO GOIANA DE VOO LIVRE,161.9,30.4/119.9,397.0,0.0,681.9,830.7,757.6,2859.5
47,15192,THOMAS MILKO,M,BRA,Gin Boomerang 12 - Turquesa,Kortel Kanibal Race 2,Eu mesmo,,CVLG - CLUBE DE VOO LIVRE GAVIÃO,FPVL - FEDERAÇÃO PAULISTA DE VOO LIVRE,913.6,963.2,38.9,780.0,82.4,0.0,0.0,2778.1
48,54961,MARCOS HENRIQUE DIAS DO NASCIMENTO,M,BRA,Flow XCRacer 2 - Vermelho amarelo,Sol CX Max,Voos de parapente Rio,Cajus Cariocas,CRBVL - CLUBE RIO BONITO DE VOO LIVRE,FVLERJ - FEDERAÇÃO DE VOO LIVRE DO ESTADO DO RIO DE JANEIRO,31.8/133.3,703.0,445.7,513.1,207.8,795.8,34.8,2697.2
49,2367,SERGIO ROBERTO FURTADO,M,BRA,Niviuk XOne - Azul,Gin Genie Race 5,SOL,Equipe SC,LCVL - LAGOA CLUBE DE VOO LIVRE,FCVL - FEDERAÇÃO CATARINENSE DE VOO LIVRE,543.6,440.6,506.4,198.1,30.6/122.1,15.4,892.3,2611.6
50,3031,MAURO ALESSANDRO DA SILVEIRA ARRUDA,M,BRA,Ozone Enzo 3 - Verde amarelo branco,Woody Valley XR7,ELETRO TERRA ENGENHARIA DE AUTOMAÇÃO,,CVLBH - CLUBE DE VOO LIVRE BELO HORIZONTE,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,886.9,827.8,885.4,0.0,0.0,0.0,0.0,2600.1
51,5115,FABRICIO DECKER SCHMITZ,M,BRA,Flow XCRacer - azul e preto,Kortel Kanibal Race 2,....,Carcará,CSCVL - CLUBE SãO CONRADO DE VOO LIVRE,FVLERJ - FEDERAÇÃO DE VOO LIVRE DO ESTADO DO RIO DE JANEIRO,0.0,0.0,686.7,859.9,232.4,775.2,30.1,2584.3
52,39754,SAMUEL MILANI PEREIRA,M,BRA,Ozone Enzo 3 - Azul e preto,Gin Genie Race 5,Z-Nine,Fumaça Deitada,CGS - CLUBE GAVIÕES DA SERRA,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,880.6,489.4,913.0,12.7,0.0,0.0,0.0,2295.7
